server,package,version,license
go-auth,github.com/golang-jwt/jwt/v5,v5.2.1,MIT
go-auth,github.com/google/go-cmp,v0.6.0,BSD-3-Clause
go-auth,github.com/google/uuid,v1.6.0,BSD-3-Clause
go-auth,github.com/jackc/pgpassfile,v1.0.0,MIT
go-auth,github.com/jackc/pgservicefile,v0.0.0-20221227161230-091c0ba34f0a,MIT
go-auth,github.com/jackc/pgx/v5,v5.6.0,MIT
go-auth,github.com/jackc/puddle/v2,v2.2.1,MIT
go-auth,github.com/klauspost/compress,v1.17.9,Apache-2.0
go-auth,github.com/klauspost/compress,v1.17.9,BSD-3-Clause
go-auth,github.com/klauspost/compress,v1.17.9,MIT
go-auth,github.com/kylelemons/godebug,v1.1.0,Apache-2.0
go-auth,github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,BSD-3-Clause
go-auth,github.com/pmezard/go-difflib,v1.0.0,BSD-3-Clause
go-auth,github.com/pquerna/otp,v1.4.0,Apache-2.0
go-auth,github.com/prometheus/client_golang,v1.20.5,Apache-2.0
go-auth,github.com/prometheus/client_golang,v1.20.5,BSD-3-Clause
go-auth,github.com/prometheus/client_model,v0.6.1,Apache-2.0
go-auth,github.com/prometheus/common,v0.55.0,Apache-2.0
go-auth,github.com/prometheus/procfs,v0.15.1,Apache-2.0
go-auth,github.com/stretchr/testify,v1.9.0,MIT
go-auth,golang.org/x/crypto,v0.21.0,BSD-3-Clause
go-auth,golang.org/x/sync,v0.7.0,BSD-3-Clause
go-auth,golang.org/x/sys,v0.22.0,BSD-3-Clause
go-auth,golang.org/x/text,v0.16.0,BSD-3-Clause
go-auth,google.golang.org/protobuf,v1.34.2,BSD-3-Clause
go-auth,gopkg.in/yaml.v3,v3.0.1,Apache-2.0
go-auth,gopkg.in/yaml.v3,v3.0.1,MIT
go-constructor,github.com/BurntSushi/toml,v1.4.0,MIT
go-constructor,github.com/beorn7/perks,v1.0.1,MIT
go-constructor,github.com/cespare/xxhash/v2,v2.3.0,MIT
go-constructor,github.com/davecgh/go-spew,v1.1.1,ISC
go-constructor,github.com/google/go-cmp,v0.6.0,BSD-3-Clause
go-constructor,github.com/jackc/pgpassfile,v1.0.0,MIT
go-constructor,github.com/jackc/pgservicefile,v0.0.0-20221227161230-091c0ba34f0a,MIT
go-constructor,github.com/jackc/pgx/v5,v5.6.0,MIT
go-constructor,github.com/jackc/puddle/v2,v2.2.1,MIT
go-constructor,github.com/klauspost/compress,v1.17.9,Apache-2.0
go-constructor,github.com/klauspost/compress,v1.17.9,BSD-3-Clause
go-constructor,github.com/klauspost/compress,v1.17.9,MIT
go-constructor,github.com/kylelemons/godebug,v1.1.0,Apache-2.0
go-constructor,github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,BSD-3-Clause
go-constructor,github.com/pmezard/go-difflib,v1.0.0,BSD-3-Clause
go-constructor,github.com/prometheus/client_golang,v1.20.5,Apache-2.0
go-constructor,github.com/prometheus/client_golang,v1.20.5,BSD-3-Clause
go-constructor,github.com/prometheus/client_model,v0.6.1,Apache-2.0
go-constructor,github.com/prometheus/common,v0.55.0,Apache-2.0
go-constructor,github.com/prometheus/procfs,v0.15.1,Apache-2.0
go-constructor,github.com/stretchr/testify,v1.9.0,MIT
go-constructor,golang.org/x/crypto,v0.17.0,BSD-3-Clause
go-constructor,golang.org/x/sync,v0.7.0,BSD-3-Clause
go-constructor,golang.org/x/sys,v0.22.0,BSD-3-Clause
go-constructor,golang.org/x/text,v0.16.0,BSD-3-Clause
go-constructor,google.golang.org/protobuf,v1.34.2,BSD-3-Clause
go-constructor,gopkg.in/yaml.v3,v3.0.1,Apache-2.0
go-constructor,gopkg.in/yaml.v3,v3.0.1,MIT
go-gw,github.com/BurntSushi/toml,v1.4.0,MIT
go-gw,github.com/beorn7/perks,v1.0.1,MIT
go-gw,github.com/cespare/xxhash/v2,v2.3.0,MIT
go-gw,github.com/google/go-cmp,v0.6.0,BSD-3-Clause
go-gw,github.com/klauspost/compress,v1.17.9,Apache-2.0
go-gw,github.com/klauspost/compress,v1.17.9,BSD-3-Clause
go-gw,github.com/klauspost/compress,v1.17.9,MIT
go-gw,github.com/kylelemons/godebug,v1.1.0,Apache-2.0
go-gw,github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,BSD-3-Clause
go-gw,github.com/prometheus/client_golang,v1.20.5,Apache-2.0
go-gw,github.com/prometheus/client_golang,v1.20.5,BSD-3-Clause
go-gw,github.com/prometheus/client_model,v0.6.1,Apache-2.0
go-gw,github.com/prometheus/common,v0.55.0,Apache-2.0
go-gw,github.com/prometheus/procfs,v0.15.1,Apache-2.0
go-gw,golang.org/x/sys,v0.22.0,BSD-3-Clause
go-gw,google.golang.org/protobuf,v1.34.2,BSD-3-Clause
go-orchestrator,github.com/BurntSushi/toml,v1.4.0,MIT
go-orchestrator,github.com/beorn7/perks,v1.0.1,MIT
go-orchestrator,github.com/bsm/ginkgo/v2,v2.12.0,MIT
go-orchestrator,github.com/bsm/gomega,v1.27.10,MIT
go-orchestrator,github.com/cespare/xxhash/v2,v2.3.0,MIT
go-orchestrator,github.com/davecgh/go-spew,v1.1.1,ISC
go-orchestrator,github.com/dgryski/go-rendezvous,v0.0.0-20200823014737-9f7001d12a5f,MIT
go-orchestrator,github.com/google/go-cmp,v0.6.0,BSD-3-Clause
go-orchestrator,github.com/jackc/pgpassfile,v1.0.0,MIT
go-orchestrator,github.com/jackc/pgservicefile,v0.0.0-20221227161230-091c0ba34f0a,MIT
go-orchestrator,github.com/jackc/pgx/v5,v5.6.0,MIT
go-orchestrator,github.com/jackc/puddle/v2,v2.2.1,MIT
go-orchestrator,github.com/klauspost/compress,v1.17.9,Apache-2.0
go-orchestrator,github.com/klauspost/compress,v1.17.9,BSD-3-Clause
go-orchestrator,github.com/klauspost/compress,v1.17.9,MIT
go-orchestrator,github.com/kylelemons/godebug,v1.1.0,Apache-2.0
go-orchestrator,github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,BSD-3-Clause
go-orchestrator,github.com/nats-io/nats.go,v1.36.0,Apache-2.0
go-orchestrator,github.com/nats-io/nkeys,v0.4.7,Apache-2.0
go-orchestrator,github.com/nats-io/nuid,v1.0.1,Apache-2.0
go-orchestrator,github.com/pmezard/go-difflib,v1.0.0,BSD-3-Clause
go-orchestrator,github.com/prometheus/client_golang,v1.20.5,Apache-2.0
go-orchestrator,github.com/prometheus/client_golang,v1.20.5,BSD-3-Clause
go-orchestrator,github.com/prometheus/client_model,v0.6.1,Apache-2.0
go-orchestrator,github.com/prometheus/common,v0.55.0,Apache-2.0
go-orchestrator,github.com/prometheus/procfs,v0.15.1,Apache-2.0
go-orchestrator,github.com/redis/go-redis/v9,v9.6.1,BSD-2-Clause
go-orchestrator,github.com/stretchr/testify,v1.9.0,MIT
go-orchestrator,golang.org/x/crypto,v0.18.0,BSD-3-Clause
go-orchestrator,golang.org/x/sync,v0.7.0,BSD-3-Clause
go-orchestrator,golang.org/x/sys,v0.22.0,BSD-3-Clause
go-orchestrator,golang.org/x/text,v0.16.0,BSD-3-Clause
go-orchestrator,google.golang.org/protobuf,v1.34.2,BSD-3-Clause
go-orchestrator,gopkg.in/yaml.v3,v3.0.1,Apache-2.0
go-orchestrator,gopkg.in/yaml.v3,v3.0.1,MIT
go-orchestrator,nhooyr.io/websocket,v1.8.11,ISC
go-report,github.com/BurntSushi/toml,v1.4.0,MIT
go-report,github.com/beorn7/perks,v1.0.1,MIT
go-report,github.com/cespare/xxhash/v2,v2.3.0,MIT
go-report,github.com/davecgh/go-spew,v1.1.1,ISC
go-report,github.com/google/go-cmp,v0.6.0,BSD-3-Clause
go-report,github.com/jackc/pgpassfile,v1.0.0,MIT
go-report,github.com/jackc/pgservicefile,v0.0.0-20221227161230-091c0ba34f0a,MIT
go-report,github.com/jackc/pgx/v5,v5.6.0,MIT
go-report,github.com/jackc/puddle/v2,v2.2.1,MIT
go-report,github.com/jung-kurt/gofpdf,v1.16.2,MIT
go-report,github.com/klauspost/compress,v1.17.9,Apache-2.0
go-report,github.com/klauspost/compress,v1.17.9,BSD-3-Clause
go-report,github.com/klauspost/compress,v1.17.9,MIT
go-report,github.com/kylelemons/godebug,v1.1.0,Apache-2.0
